id_data,data,ano,trimestre,mes,nome_mes,semana_ano,dia_semana,nome_dia,fim_semana
85,2022-03-26,2022,1,3,Marco,12,5,Sabado,1
86,2022-03-27,2022,1,3,Marco,12,6,Domingo,1
87,2022-03-28,2022,1,3,Marco,13,0,Segunda,0
88,2022-03-29,2022,1,3,Marco,13,1,Terca,0
89,2022-03-30,2022,1,3,Marco,13,2,Quarta,0
90,2022-03-31,2022,1,3,Marco,13,3,Quinta,0
91,2022-04-01,2022,2,4,Abril,13,4,Sexta,0
92,2022-04-02,2022,2,4,Abril,13,5,Sabado,1
93,2022-04-03,2022,2,4,Abril,13,6,Domingo,1
94,2022-04-04,2022,2,4,Abril,14,0,Segunda,0
95,2022-04-05,2022,2,4,Abril,14,1,Terca,0
96,2022-04-06,2022,2,4,Abril,14,2,Quarta,0
97,2022-04-07,2022,2,4,Abril,14,3,Quinta,0
98,2022-04-08,2022,2,4,Abril,14,4,Sexta,0
99,2022-04-09,2022,2,4,Abril,14,5,Sabado,1
100,2022-04-10,2022,2,4,Abril,14,6,Domingo,1
101,2022-04-11,2022,2,4,Abril,15,0,Segunda,0
102,2022-04-12,2022,2,4,Abril,15,1,Terca,0
103,2022-04-13,2022,2,4,Abril,15,2,Quarta,0
104,2022-04-14,2022,2,4,Abril,15,3,Quinta,0
105,2022-04-15,2022,2,4,Abril,15,4,Sexta,0
106,2022-04-16,2022,2,4,Abril,15,5,Sabado,1
107,2022-04-17,2022,2,4,Abril,15,6,Domingo,1
108,2022-04-18,2022,2,4,Abril,16,0,Segunda,0
109,2022-04-19,2022,2,4,Abril,16,1,Terca,0
110,2022-04-20,2022,2,4,Abril,16,2,Quarta,0
111,2022-04-21,2022,2,4,Abril,16,3,Quinta,0
112,2022-04-22,2022,2,4,Abril,16,4,Sexta,0
113,2022-04-23,2022,2,4,Abril,16,5,Sabado,1
114,2022-04-24,2022,2,4,Abril,16,6,Domingo,1
115,2022-04-25,2022,2,4,Abril,17,0,Segunda,0
116,2022-04-26,2022,2,4,Abril,17,1,Terca,0
117,2022-04-27,2022,2,4,Abril,17,2,Quarta,0
118,2022-04-28,2022,2,4,Abril,17,3,Quinta,0
119,2022-04-29,2022,2,4,Abril,17,4,Sexta,0
120,2022-04-30,2022,2,4,Abril,17,5,Sabado,1
121,2022-05-01,2022,2,5,Maio,17,6,Domingo,1
122,2022-05-02,2022,2,5,Maio,18,0,Segunda,0
123,2022-05-03,2022,2,5,Maio,18,1,Terca,0
124,2022-05-04,2022,2,5,Maio,18,2,Quarta,0
